plot_component,source,material,model,feature_strategy,feature_strategy_short,scenario_group_type,scenario_group,selected_feature,case_name,mae_test_median,mae_test_std
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_1.5C,fai_irrev_1.5C,single__fai_irrev_1.5C,0.014336352,0.002191235
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_2.5C,fai_irrev_2.5C,single__fai_irrev_2.5C,0.015117276,0.002135114
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_1.5C,fai_irrev_1.5C,single__fai_irrev_1.5C,0.014431946,0.002111636
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_2.5C,fai_irrev_2.5C,single__fai_irrev_2.5C,0.014977611,0.002372823
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_1C,fai_irrev_1C,single__fai_irrev_1C,0.014300518,0.001993467
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_2C,fai_irrev_2C,single__fai_irrev_2C,0.01383072,0.002120905
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_2.5C,fai_irrev_2.5C,single__fai_irrev_2.5C,0.014163655,0.001944217
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_1.5C,fai_irrev_1.5C,single__fai_irrev_1.5C,0.01532709,0.002181808
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_0.5C,fai_irrev_0.5C,single__fai_irrev_0.5C,0.015859844,0.002319589
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_1.5C,fai_irrev_1.5C,single__fai_irrev_1.5C,0.014642931,0.00193385
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_1.5C,fai_irrev_1.5C,single__fai_irrev_1.5C,0.015313889,0.002381269
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_0.5C,fai_irrev_0.5C,single__fai_irrev_0.5C,0.014393824,0.002089513
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_2C,fai_irrev_2C,single__fai_irrev_2C,0.014786738,0.002274221
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_0.5C,fai_irrev_0.5C,single__fai_irrev_0.5C,0.016342409,0.00237728
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_2C,fai_irrev_2C,single__fai_irrev_2C,0.01589161,0.002236958
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_1.5C,fai_irrev_1.5C,single__fai_irrev_1.5C,0.017317383,0.002631548
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_0.5C,fai_irrev_0.5C,single__fai_irrev_0.5C,0.01401272,0.001956444
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_2C,fai_irrev_2C,single__fai_irrev_2C,0.017491997,0.002404308
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_0.5C,fai_irrev_0.5C,single__fai_irrev_0.5C,0.013169309,0.001978714
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_1C,fai_irrev_1C,single__fai_irrev_1C,0.015389687,0.002276788
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_0.5C,fai_irrev_0.5C,single__fai_irrev_0.5C,0.017698691,0.00262732
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_2.5C,fai_irrev_2.5C,single__fai_irrev_2.5C,0.010502116,0.001976739
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_1.5C,fai_irrev_1.5C,single__fai_irrev_1.5C,0.023662802,0.002800448
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_2C,fai_irrev_2C,single__fai_irrev_2C,0.020051912,0.00264543
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_1C,fai_irrev_1C,single__fai_irrev_1C,0.018535436,0.002801453
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_2.5C,fai_irrev_2.5C,single__fai_irrev_2.5C,0.020972345,0.002567685
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_2.5C,fai_irrev_2.5C,single__fai_irrev_2.5C,0.014907154,0.002087126
