capacity,width_ms,soc_%,group,mean_crate,d_raw,d_norm,mae
LFP 20Ah,3000,25,0.5C|1.0C|1.5C|2.0C|2.5C,1.5,2.598076211353316,0.5035802773711869,0.016948796257758247
LFP 20Ah,3000,30,0.5C|1.0C,0.75,1.299038105676658,0.23853802612319383,0.017637195215543085
LFP 20Ah,3000,30,1.0C|1.5C,1.25,2.1650635094610964,0.41523286028852247,0.01819737746749766
LFP 20Ah,3000,30,1.5C|2.0C,1.75,3.031088913245535,0.5919276944538513,0.01651072611078165
LFP 20Ah,3000,30,2.0C|2.5C,2.25,3.8971143170299736,0.7686225286191799,0.016259743547532755
LFP 20Ah,3000,30,0.5C|1.0C|1.5C|2.0C|2.5C,1.5,2.598076211353316,0.5035802773711869,0.017307206293749464
LFP 20Ah,3000,35,0.5C|1.0C,0.75,1.299038105676658,0.23853802612319383,0.01651368640119911
LFP 20Ah,3000,35,1.0C|1.5C,1.25,2.1650635094610964,0.41523286028852247,0.017354617622503635
LFP 20Ah,3000,35,1.5C|2.0C,1.75,3.031088913245535,0.5919276944538513,0.01526607968110626
LFP 20Ah,3000,35,2.0C|2.5C,2.25,3.8971143170299736,0.7686225286191799,0.015407089111733878
LFP 20Ah,3000,35,0.5C|1.0C|1.5C|2.0C|2.5C,1.5,2.598076211353316,0.5035802773711869,0.01563819309062105
LFP 20Ah,3000,40,0.5C|1.0C,0.75,1.299038105676658,0.23853802612319383,0.01634332275368445
LFP 20Ah,3000,40,1.0C|1.5C,1.25,2.1650635094610964,0.41523286028852247,0.018435015963061983
LFP 20Ah,3000,40,1.5C|2.0C,1.75,3.031088913245535,0.5919276944538513,0.017330582315772718
LFP 20Ah,3000,40,2.0C|2.5C,2.25,3.8971143170299736,0.7686225286191799,0.017040345263852646
LFP 20Ah,3000,40,0.5C|1.0C|1.5C|2.0C|2.5C,1.5,2.598076211353316,0.5035802773711869,0.01580110631887914
LFP 20Ah,3000,45,0.5C|1.0C,0.75,1.299038105676658,0.23853802612319383,0.015521594239541955
LFP 20Ah,3000,45,1.0C|1.5C,1.25,2.1650635094610964,0.41523286028852247,0.016153723343283133
LFP 20Ah,3000,45,1.5C|2.0C,1.75,3.031088913245535,0.5919276944538513,0.015020186709529896
LFP 20Ah,3000,45,2.0C|2.5C,2.25,3.8971143170299736,0.7686225286191799,0.014334930894351828
LFP 20Ah,3000,45,0.5C|1.0C|1.5C|2.0C|2.5C,1.5,2.598076211353316,0.5035802773711869,0.014946064380474144
LFP 20Ah,3000,50,0.5C|1.0C,0.75,1.299038105676658,0.23853802612319383,0.01525175922289626
LFP 20Ah,3000,50,1.0C|1.5C,1.25,2.1650635094610964,0.41523286028852247,0.015281339774332487
LFP 20Ah,3000,50,1.5C|2.0C,1.75,3.031088913245535,0.5919276944538513,0.014995263959650224
LFP 20Ah,3000,50,2.0C|2.5C,2.25,3.8971143170299736,0.7686225286191799,0.014051815745943344
LFP 20Ah,3000,50,0.5C|1.0C|1.5C|2.0C|2.5C,1.5,2.598076211353316,0.5035802773711869,0.014051758965850626
LFP 20Ah,3000,55,0.5C|1.0C,0.75,1.299038105676658,0.23853802612319383,0.01621713404530243
