width_ms,soc_%,crate,mae
5000,5,1.5C,0.025791158943509404
5000,5,2.0C,0.0274017803798368
5000,5,2.5C,0.0266784203121416
5000,15,0.5C,0.0160894862388502
5000,15,1.0C,0.0225642817441022
5000,15,1.5C,0.0195501913332312
5000,15,2.0C,0.0177699919705944
5000,15,2.5C,0.0182740408500827
5000,25,0.5C,0.0168679093304638
5000,25,1.0C,0.0257890277135521
5000,25,1.5C,0.024050412668596702
5000,25,2.0C,0.0198872228236514
5000,25,2.5C,0.034592738586673
5000,35,0.5C,0.0135171077747826
5000,35,1.0C,0.0163849763830442
5000,35,1.5C,0.0156368329133009
5000,35,2.0C,0.0142853853979162
5000,35,2.5C,0.0330809751231655
5000,45,0.5C,0.013256617256646
5000,45,1.0C,0.0152853258882154
5000,45,1.5C,0.0141514555775895
5000,45,2.0C,0.014683719995001
5000,45,2.5C,0.0351780358401333
5000,55,0.5C,0.0152453266353044
5000,55,1.0C,0.0214147575407782
5000,55,1.5C,0.0187155304023463
5000,55,2.0C,0.0305695090407675
5000,55,2.5C,0.0220881613878196
5000,65,0.5C,0.0131481299505121
5000,65,1.0C,0.0097173258674208
5000,65,1.5C,0.0095846746484359
5000,65,2.0C,0.0147029089087042
5000,65,2.5C,0.0202837582750714
5000,75,0.5C,0.0033045694087403
5000,75,1.0C,0.0031649999999998004
5000,75,1.5C,0.0032078272344827
5000,75,2.0C,0.0031148545861297
5000,75,2.5C,0.0030374123611619005
