group,label,file_name,file_path,SOC_low,SOC_high,SOC_window,Part,keep_reason,SOH,SOH_percent,Qn_Ah,Q_Ah
68Ah LFP,68 Ah,LFP_C_68_B_13_SOC_5-75_Part_1-1_ID_02HCB68111211Y87Y0002979.xlsx,E:\Datasets\PulseBat\PulseBat-all-raw\ProcessingData All\step_1_extract workstep sheet\68Ah LFP\LFP_C_68_B_13_SOC_5-75_Part_1-1_ID_02HCB68111211Y87Y0002979.xlsx,5,75,5-75,1-1,keep_SOC_5-75_Part_1-1,0.8467470588235294,84.67470588235294,68,57.5788
68Ah LFP,68 Ah,LFP_C_68_B_14_SOC_5-75_Part_1-1_ID_02HCB68111211Y88E0004620.xlsx,E:\Datasets\PulseBat\PulseBat-all-raw\ProcessingData All\step_1_extract workstep sheet\68Ah LFP\LFP_C_68_B_14_SOC_5-75_Part_1-1_ID_02HCB68111211Y88E0004620.xlsx,5,75,5-75,1-1,keep_SOC_5-75_Part_1-1,0.8436882352941177,84.36882352941177,68,57.3708
68Ah LFP,68 Ah,LFP_C_68_B_15_SOC_5-75_Part_1-1_ID_02HCB68111211Y87Y0009119.xlsx,E:\Datasets\PulseBat\PulseBat-all-raw\ProcessingData All\step_1_extract workstep sheet\68Ah LFP\LFP_C_68_B_15_SOC_5-75_Part_1-1_ID_02HCB68111211Y87Y0009119.xlsx,5,75,5-75,1-1,keep_SOC_5-75_Part_1-1,0.8420808823529411,84.20808823529411,68,57.2615
68Ah LFP,68 Ah,LFP_C_68_B_16_SOC_5-75_Part_1-1_ID_02HCB68111211Y87Y0013185.xlsx,E:\Datasets\PulseBat\PulseBat-all-raw\ProcessingData All\step_1_extract workstep sheet\68Ah LFP\LFP_C_68_B_16_SOC_5-75_Part_1-1_ID_02HCB68111211Y87Y0013185.xlsx,5,75,5-75,1-1,keep_SOC_5-75_Part_1-1,0.8447191176470588,84.47191176470588,68,57.4409
68Ah LFP,68 Ah,LFP_C_68_B_17_SOC_5-75_Part_1-1_ID_02HCB68111211Y87Y0008381.xlsx,E:\Datasets\PulseBat\PulseBat-all-raw\ProcessingData All\step_1_extract workstep sheet\68Ah LFP\LFP_C_68_B_17_SOC_5-75_Part_1-1_ID_02HCB68111211Y87Y0008381.xlsx,5,75,5-75,1-1,keep_SOC_5-75_Part_1-1,0.8263294117647059,82.63294117647058,68,56.1904
68Ah LFP,68 Ah,LFP_C_68_B_18_SOC_5-75_Part_1-1_ID_02HCB68111211Y87Y0003956.xlsx,E:\Datasets\PulseBat\PulseBat-all-raw\ProcessingData All\step_1_extract workstep sheet\68Ah LFP\LFP_C_68_B_18_SOC_5-75_Part_1-1_ID_02HCB68111211Y87Y0003956.xlsx,5,75,5-75,1-1,keep_SOC_5-75_Part_1-1,0.8475764705882353,84.75764705882352,68,57.6352
68Ah LFP,68 Ah,LFP_C_68_B_19_SOC_5-75_Part_1-1_ID_02HCB68111211Y87Y0008126.xlsx,E:\Datasets\PulseBat\PulseBat-all-raw\ProcessingData All\step_1_extract workstep sheet\68Ah LFP\LFP_C_68_B_19_SOC_5-75_Part_1-1_ID_02HCB68111211Y87Y0008126.xlsx,5,75,5-75,1-1,keep_SOC_5-75_Part_1-1,0.8305264705882353,83.05264705882352,68,56.4758
68Ah LFP,68 Ah,LFP_C_68_B_1_SOC_5-75_Part_1-1_ID_02HCB68111211Y88E0004385.xlsx,E:\Datasets\PulseBat\PulseBat-all-raw\ProcessingData All\step_1_extract workstep sheet\68Ah LFP\LFP_C_68_B_1_SOC_5-75_Part_1-1_ID_02HCB68111211Y88E0004385.xlsx,5,75,5-75,1-1,keep_SOC_5-75_Part_1-1,0.8361323529411765,83.61323529411764,68,56.857
68Ah LFP,68 Ah,LFP_C_68_B_20_SOC_5-75_Part_1-1_ID_02HCB68111211Y87Y0012226.xlsx,E:\Datasets\PulseBat\PulseBat-all-raw\ProcessingData All\step_1_extract workstep sheet\68Ah LFP\LFP_C_68_B_20_SOC_5-75_Part_1-1_ID_02HCB68111211Y87Y0012226.xlsx,5,75,5-75,1-1,keep_SOC_5-75_Part_1-1,0.8112264705882354,81.12264705882353,68,55.1634
68Ah LFP,68 Ah,LFP_C_68_B_21_SOC_5-75_Part_1-1_ID_02HCB68111211Y88D0000337.xlsx,E:\Datasets\PulseBat\PulseBat-all-raw\ProcessingData All\step_1_extract workstep sheet\68Ah LFP\LFP_C_68_B_21_SOC_5-75_Part_1-1_ID_02HCB68111211Y88D0000337.xlsx,5,75,5-75,1-1,keep_SOC_5-75_Part_1-1,0.8561661764705882,85.61661764705882,68,58.2193
