capacity,width_ms,soc_%,group,combo_mae,single_mean_mae,delta_mae
68Ah,500,5,0.5C|1.0C|1.5C|2.0C|2.5C,0.057383956682850255,0.0551029441243681,0.002281012558482152
68Ah,500,15,0.5C|1.0C,0.047316236916923306,0.050105856559641795,-0.0027896196427184884
68Ah,500,15,1.0C|1.5C,0.04409361013076419,0.046312115592853455,-0.0022185054620892687
68Ah,500,15,1.5C|2.0C,0.041202963305388696,0.04350594821769575,-0.0023029849123070534
68Ah,500,15,2.0C|2.5C,0.04061836754735789,0.04200631994069405,-0.0013879523933361603
68Ah,500,15,0.5C|1.0C|1.5C|2.0C|2.5C,0.03968441016572126,0.04585093805248628,-0.006166527886765025
68Ah,500,25,0.5C|1.0C,0.04404003232633298,0.047780938093033354,-0.0037409057667003778
68Ah,500,25,1.0C|1.5C,0.040663776215572184,0.042466549668213054,-0.001802773452640869
68Ah,500,25,1.5C|2.0C,0.03762628847327569,0.0391869847554884,-0.0015606962822127147
68Ah,500,25,2.0C|2.5C,0.03696212782999099,0.037695326696853056,-0.0007331988668620637
68Ah,500,25,0.5C|1.0C|1.5C|2.0C|2.5C,0.03712586910188302,0.04232391995742366,-0.005198050855540645
68Ah,500,35,0.5C|1.0C,0.037288347181617214,0.04121964590756571,-0.003931298725948498
68Ah,500,35,1.0C|1.5C,0.033762095240748934,0.0352375286476224,-0.0014754334068734654
68Ah,500,35,1.5C|2.0C,0.033429251424985575,0.0340135341874784,-0.0005842827624928227
68Ah,500,35,2.0C|2.5C,0.0350910114224549,0.035666204006459104,-0.0005751925840041983
68Ah,500,35,0.5C|1.0C|1.5C|2.0C|2.5C,0.0347201697435445,0.03743306551502906,-0.002712895771484565
68Ah,500,45,0.5C|1.0C,0.03931022811689838,0.0420366696321285,-0.002726441515230116
68Ah,500,45,1.0C|1.5C,0.038911554315444824,0.0390710819657848,-0.00015952765033997452
68Ah,500,45,1.5C|2.0C,0.03775590776458439,0.038122878074471,-0.0003669703098866117
68Ah,500,45,2.0C|2.5C,0.0371680896202577,0.03711138162392995,5.6707996327749474e-05
68Ah,500,45,0.5C|1.0C|1.5C|2.0C|2.5C,0.03657366718981195,0.039466916752689596,-0.0028932495628776513
68Ah,500,55,0.5C|1.0C,0.0349123477719397,0.038387377721749896,-0.0034750299498101933
68Ah,500,55,1.0C|1.5C,0.03381600313625546,0.0341984391668628,-0.0003824360306073382
68Ah,500,55,1.5C|2.0C,0.033317370043501306,0.03391527461108805,-0.0005979045675867489
68Ah,500,55,2.0C|2.5C,0.03290876517770138,0.0332896855260726,-0.0003809203483712187
68Ah,500,55,0.5C|1.0C|1.5C|2.0C|2.5C,0.0338884305794173,0.035527294740432015,-0.001638864161014717
68Ah,500,65,0.5C|1.0C,0.018235022204951476,0.0237341497818924,-0.005499127576940925
68Ah,500,65,1.0C|1.5C,0.016415438242741588,0.0176392336056427,-0.0012237953629011123
68Ah,500,65,1.5C|2.0C,0.017645665644536353,0.0176075629136604,3.810273087595295e-05
68Ah,500,65,2.0C|2.5C,0.016381325010559146,0.0171497368902424,-0.0007684118796832529
68Ah,500,65,0.5C|1.0C|1.5C|2.0C|2.5C,0.015922279177959457,0.01979183888546312,-0.00386955970750366
68Ah,500,75,0.5C|1.0C,0.009311989864463164,0.010838833398537,-0.0015268435340738363
68Ah,500,75,1.0C|1.5C,0.009827486577966638,0.00981837910657035,9.10747139628798e-06
68Ah,500,75,1.5C|2.0C,0.009708830768593312,0.00982521022826335,-0.00011637945967003849
68Ah,500,75,2.0C|2.5C,0.009936674980465316,0.01015637164529235,-0.00021969666482703375
68Ah,500,75,0.5C|1.0C|1.5C|2.0C|2.5C,0.00907783308042925,0.010341600693814481,-0.0012637676133852305
68Ah,3000,5,0.5C|1.0C,0.053360910296456676,0.053990704789611856,-0.0006297944931551758
68Ah,3000,5,1.0C|1.5C,0.053491817100594925,0.052866580922562856,0.0006252361780320736
68Ah,3000,5,1.5C|2.0C,0.05276447432450105,0.0540392491949056,-0.0012747748704045492
68Ah,3000,5,2.0C|2.5C,0.05359811526421415,0.05450957343761676,-0.0009114581734026039
68Ah,3000,5,0.5C|1.0C|1.5C|2.0C|2.5C,0.054026130636159936,0.05395081344174744,7.531719441249862e-05
68Ah,3000,15,0.5C|1.0C,0.0321136966416765,0.03541560460527885,-0.003301907963602351
68Ah,3000,15,1.0C|1.5C,0.03184234878617036,0.033213678677606454,-0.001371329891436095
68Ah,3000,15,1.5C|2.0C,0.03283411789343363,0.033210153272545305,-0.0003760353791116744
68Ah,3000,15,2.0C|2.5C,0.03413781330978282,0.034406031392684,-0.0002682180829011838
68Ah,3000,15,0.5C|1.0C|1.5C|2.0C|2.5C,0.03229653767449614,0.034506382465049924,-0.0022098447905537855
68Ah,3000,25,0.5C|1.0C,0.021791977292107093,0.0273222898681854,-0.005530312576078309
68Ah,3000,25,1.0C|1.5C,0.021882938776781283,0.02441041533974935,-0.0025274765629680696
68Ah,3000,25,1.5C|2.0C,0.025683399664870543,0.0265976661912006,-0.0009142665263300564
68Ah,3000,25,2.0C|2.5C,0.025253517402127616,0.025807021481303104,-0.0005535040791754886
68Ah,3000,25,0.5C|1.0C|1.5C|2.0C|2.5C,0.022399605916606943,0.026645137217576283,-0.004245531300969341
68Ah,3000,35,0.5C|1.0C,0.018881312023722712,0.0238900789306878,-0.005008766906965089
68Ah,3000,35,1.0C|1.5C,0.0186985761582058,0.0191165145985828,-0.0004179384403769992
68Ah,3000,35,1.5C|2.0C,0.01939147606526901,0.0193202736812918,7.120238397721134e-05
68Ah,3000,35,2.0C|2.5C,0.01850741853317503,0.0187135385621742,-0.00020612002899917048
68Ah,3000,35,0.5C|1.0C|1.5C|2.0C|2.5C,0.017411141791689573,0.02087551543505608,-0.0034643736433665074
68Ah,3000,45,0.5C|1.0C,0.026473414527241158,0.029855343066254304,-0.0033819285390131438
68Ah,3000,45,1.0C|1.5C,0.024610368024110783,0.025709662109544153,-0.0010992940854333666
68Ah,3000,45,1.5C|2.0C,0.02441994863777713,0.02437145974750075,4.848889027638137e-05
68Ah,3000,45,2.0C|2.5C,0.024100775586341543,0.023930575848177604,0.00017019973816394086
68Ah,3000,45,0.5C|1.0C|1.5C|2.0C|2.5C,0.022475283120734938,0.026406945199520006,-0.003931662078785068
68Ah,3000,55,0.5C|1.0C,0.02283541291610771,0.0243449896228519,-0.0015095767067441867
68Ah,3000,55,1.0C|1.5C,0.022360332376360856,0.02217450155044265,0.0001858308259182051
68Ah,3000,55,1.5C|2.0C,0.02116483745677283,0.021820508282978254,-0.0006556708262054212
68Ah,3000,55,2.0C|2.5C,0.021209012729811225,0.02128864047930025,-7.962774948902407e-05
68Ah,3000,55,0.5C|1.0C|1.5C|2.0C|2.5C,0.02177045409856688,0.022753028333077737,-0.0009825742345108601
68Ah,3000,65,0.5C|1.0C,0.011510783784096763,0.012230883657213,-0.0007200998731162378
68Ah,3000,65,1.0C|1.5C,0.011123918491651926,0.0112554276552137,-0.00013150916356177378
68Ah,3000,65,1.5C|2.0C,0.011078058688866403,0.011114435302639749,-3.637661377334567e-05
68Ah,3000,65,2.0C|2.5C,0.011314987637839674,0.01141796470801995,-0.00010297707018027679
68Ah,3000,65,0.5C|1.0C|1.5C|2.0C|2.5C,0.011851159030077562,0.011655116261267003,0.00019604276881056038
68Ah,3000,75,0.5C|1.0C,0.005610408852988136,0.007052650068211399,-0.0014422412152232634
68Ah,3000,75,1.0C|1.5C,0.006118901490493698,0.0060700590944886,4.8842396005097655e-05
68Ah,3000,75,1.5C|2.0C,0.0061645088889770204,0.0063362638015718,-0.00017175491259477927
68Ah,3000,75,2.0C|2.5C,0.00670769399342563,0.0065849802809879,0.00012271371243772978
68Ah,3000,75,0.5C|1.0C|1.5C|2.0C|2.5C,0.005488509292926867,0.006680007759368361,-0.001191498466441494
68Ah,5000,5,0.5C|1.0C,0.04837730792647771,0.0536734390221637,-0.0052961310956859894
68Ah,5000,5,1.0C|1.5C,0.052509254727679776,0.0523106783883381,0.00019857633934167396
68Ah,5000,5,1.5C|2.0C,0.048579056707930966,0.052793213333398405,-0.004214156625467442
68Ah,5000,5,2.0C|2.5C,0.050212905128563,0.05339583850429341,-0.0031829333757304036
68Ah,5000,5,0.5C|1.0C|1.5C|2.0C|2.5C,0.045222380772334196,0.053288637383914025,-0.00806625661157983
68Ah,5000,15,0.5C|1.0C,0.035671553387860336,0.03921133111783295,-0.0035397777299726128
68Ah,5000,15,1.0C|1.5C,0.03718961626048212,0.03989010123662,-0.0027004849761378845
68Ah,5000,15,1.5C|2.0C,0.03600394206193498,0.0363865150938903,-0.00038257303195531555
68Ah,5000,15,2.0C|2.5C,0.035961478987430594,0.035916668335124254,4.4810652306339626e-05
68Ah,5000,15,0.5C|1.0C|1.5C|2.0C|2.5C,0.034806467435592375,0.037461725712933866,-0.0026552582773414902
68Ah,5000,25,0.5C|1.0C,0.029026179918269678,0.03168167128864415,-0.002655491370374472
68Ah,5000,25,1.0C|1.5C,0.03025507906086051,0.031723824282121595,-0.0014687452212610896
68Ah,5000,25,1.5C|2.0C,0.02983700752812122,0.030321678606000647,-0.00048467107787943055
68Ah,5000,25,2.0C|2.5C,0.029127715981447568,0.0298565564723933,-0.0007288404909457347
68Ah,5000,25,0.5C|1.0C|1.5C|2.0C|2.5C,0.026978094000309087,0.03054663144875266,-0.003568537448443574
68Ah,5000,35,0.5C|1.0C,0.021067546825730924,0.021956339338125196,-0.0008887925123942742
68Ah,5000,35,1.0C|1.5C,0.02326261227962407,0.023410299105267304,-0.000147686825643234
68Ah,5000,35,1.5C|2.0C,0.023494902714987827,0.02416832790635655,-0.0006734251913687217
68Ah,5000,35,2.0C|2.5C,0.024605040363619272,0.026210948522801196,-0.0016059081591819257
68Ah,5000,35,0.5C|1.0C|1.5C|2.0C|2.5C,0.020139541101821402,0.023940067577346378,-0.0038005264755249747
68Ah,5000,45,0.5C|1.0C,0.023172713589348727,0.024688636628929048,-0.0015159230395803203
68Ah,5000,45,1.0C|1.5C,0.02519360591275447,0.0257242062242798,-0.0005306003115253289
68Ah,5000,45,1.5C|2.0C,0.02520457538921691,0.0249758457204537,0.0002287296687632079
68Ah,5000,45,2.0C|2.5C,0.023957565385443372,0.024343791650578154,-0.0003862262651347814
68Ah,5000,45,0.5C|1.0C|1.5C|2.0C|2.5C,0.023826528814483026,0.02458891879588336,-0.0007623899814003332
68Ah,5000,55,0.5C|1.0C,0.020844731393163122,0.021262937682919453,-0.0004182062897563288
68Ah,5000,55,1.0C|1.5C,0.02216994292935346,0.021938190207759504,0.00023175272159395633
68Ah,5000,55,1.5C|2.0C,0.020288648013047167,0.02113425808093355,-0.0008456100678863842
68Ah,5000,55,2.0C|2.5C,0.020520579734507143,0.02042114554384505,9.943419066209102e-05
68Ah,5000,55,0.5C|1.0C|1.5C|2.0C|2.5C,0.019526544105383396,0.021026493585301523,-0.0014999494799181256
68Ah,5000,65,0.5C|1.0C,0.010768871075371216,0.011476894652859,-0.000708023577487784
68Ah,5000,65,1.0C|1.5C,0.012382756452416342,0.012524619158570852,-0.00014186270615450968
68Ah,5000,65,1.5C|2.0C,0.012657288764782861,0.013375455859725051,-0.0007181670949421903
68Ah,5000,65,2.0C|2.5C,0.013887320185621877,0.014066295228486401,-0.00017897504286452427
68Ah,5000,65,0.5C|1.0C|1.5C|2.0C|2.5C,0.010768812761581807,0.012794083496397862,-0.0020252707348160535
68Ah,5000,75,0.5C|1.0C,0.00614847477573815,0.00662508412539765,-0.0004766093496595003
68Ah,5000,75,1.0C|1.5C,0.006256581170051721,0.00605670433194795,0.00019987683810377077
68Ah,5000,75,1.5C|2.0C,0.005967966472542408,0.006114097630026049,-0.00014613115748364215
68Ah,5000,75,2.0C|2.5C,0.006061503864603671,0.006534879981937401,-0.0004733761173337292
68Ah,5000,75,0.5C|1.0C|1.5C|2.0C|2.5C,0.005601458906395061,0.00645572242639814,-0.0008542635200030802
