capacity,width_ms,soc_%,group,combo_mae,single_mean_mae,delta_mae
20Ah,50,55,1.5C|2.0C,0.015544125331351109,0.01664538384564005,-0.0011012585142889408
20Ah,50,55,2.0C|2.5C,0.016577130384096937,0.017434798778921946,-0.0008576683948250108
20Ah,50,55,0.5C|1.0C|1.5C|2.0C|2.5C,0.014965294012407225,0.01629860093504286,-0.0013333069226356352
20Ah,50,65,0.5C|1.0C,0.012859665131207629,0.01405103404447735,-0.0011913689132697191
20Ah,50,65,1.0C|1.5C,0.015119605350059729,0.01570203745996335,-0.0005824321099036212
20Ah,50,65,1.5C|2.0C,0.015623331088601377,0.015864964081641997,-0.00024163299304062137
20Ah,50,65,2.0C|2.5C,0.014395955419690815,0.0149972254767398,-0.0006012700570489837
20Ah,50,65,0.5C|1.0C|1.5C|2.0C|2.5C,0.013094141532333712,0.014822181490801561,-0.0017280399584678485
20Ah,50,75,0.5C|1.0C,0.0029152255435500596,0.0030352371954422,-0.00012001165189214014
20Ah,50,75,1.0C|1.5C,0.0034483692413788958,0.0030013860050104504,0.0004469832363684456
20Ah,50,75,1.5C|2.0C,0.004047830565160837,0.0034097285561672497,0.0006381020089935873
20Ah,50,75,2.0C|2.5C,0.0038700325594287766,0.00349146285155655,0.00037856970787222664
20Ah,50,75,0.5C|1.0C|1.5C|2.0C|2.5C,0.007201747120804791,0.0032429442422321404,0.003958802878572651
20Ah,500,5,0.5C|1.0C,0.02284261524671962,0.02540471965943355,-0.002562104412713926
20Ah,500,5,1.0C|1.5C,0.027452580093296933,0.027289676127956054,0.00016290396534087925
20Ah,500,5,1.5C|2.0C,0.026598327388686373,0.026521667719741703,7.665966894466969e-05
20Ah,500,5,2.0C|2.5C,0.02582705923526849,0.025784202989547048,4.2856245721440975e-05
20Ah,500,5,0.5C|1.0C|1.5C|2.0C|2.5C,0.023093532294620966,0.02587401708440756,-0.002780484789786595
20Ah,500,15,0.5C|1.0C,0.01931110566869447,0.0195311061293045,-0.00022000046061003032
20Ah,500,15,1.0C|1.5C,0.02011340378164403,0.02009755682942095,1.5846952223079748e-05
20Ah,500,15,1.5C|2.0C,0.019856015231621876,0.01991720782157945,-6.119258995757493e-05
20Ah,500,15,2.0C|2.5C,0.0199738702701609,0.019753923208012548,0.00021994706214834903
20Ah,500,15,0.5C|1.0C|1.5C|2.0C|2.5C,0.01991354814828454,0.019746880763050617,0.0001666673852339229
20Ah,500,25,0.5C|1.0C,0.015958407940695543,0.017695473285621297,-0.0017370653449257545
20Ah,500,25,1.0C|1.5C,0.019039388444856482,0.01900451255636615,3.4875888490333295e-05
20Ah,500,25,1.5C|2.0C,0.01915699656997901,0.01907145043825125,8.554613172775838e-05
20Ah,500,25,2.0C|2.5C,0.01744719598954393,0.018582304707924303,-0.001135108718380371
20Ah,500,25,0.5C|1.0C|1.5C|2.0C|2.5C,0.015700917519850466,0.01834697487486286,-0.0026460573550123965
20Ah,500,35,0.5C|1.0C,0.015600109898894692,0.01607462400910105,-0.0004745141102063588
20Ah,500,35,1.0C|1.5C,0.016079221293586486,0.016279388084228102,-0.00020016679064161603
20Ah,500,35,1.5C|2.0C,0.01614296707910097,0.016144803746025452,-1.8366669244818112e-06
