capacity,soc_%,crate,seed,importance
20Ah,50,0.5,94,0.019896950184817182
20Ah,50,0.5,95,0.02767949646129541
20Ah,50,0.5,96,0.015420659194137064
20Ah,50,0.5,97,0.014697792811184348
20Ah,50,0.5,98,0.025951711077070755
20Ah,50,0.5,99,0.02068800780109256
68Ah,50,0.5,0,0.04131398867372462
68Ah,50,0.5,1,0.03691226652532812
68Ah,50,0.5,2,0.03331594420591928
68Ah,50,0.5,3,0.0018053401559075428
68Ah,50,0.5,4,0.038238726787312764
68Ah,50,0.5,5,0.043448917307756775
68Ah,50,0.5,6,0.016295995042253097
68Ah,50,0.5,7,0.04658682347034381
68Ah,50,0.5,8,0.005635250970915726
68Ah,50,0.5,9,0.015277635693815149
68Ah,50,0.5,10,0.02569877397860455
68Ah,50,0.5,11,0.03492612057734586
68Ah,50,0.5,12,0.009320767444815165
68Ah,50,0.5,13,0.0314898483876533
68Ah,50,0.5,14,0.04000788749573595
68Ah,50,0.5,15,0.024500740020650696
68Ah,50,0.5,16,0.05303921256013661
68Ah,50,0.5,17,0.004935265445784926
68Ah,50,0.5,18,0.03683586115669899
68Ah,50,0.5,19,0.017720401629847487
68Ah,50,0.5,20,0.043200373034029994
68Ah,50,0.5,21,0.045230440214599654
68Ah,50,0.5,22,0.03440198002515304
68Ah,50,0.5,23,0.038594064046966074
68Ah,50,0.5,24,0.051818808818143866
68Ah,50,0.5,25,0.029873740013224098
68Ah,50,0.5,26,0.046311503202786326
68Ah,50,0.5,27,0.036830749543883864
68Ah,50,0.5,28,0.05019326038420726
68Ah,50,0.5,29,0.03341908001683405
68Ah,50,0.5,30,0.0327438214216885
68Ah,50,0.5,31,0.022635676651944908
68Ah,50,0.5,32,0.03830657969011605
68Ah,50,0.5,33,0.0183773607582748
68Ah,50,0.5,34,0.03921434401884529
68Ah,50,0.5,35,0.058059054553954124
68Ah,50,0.5,36,0.041036504906598846
68Ah,50,0.5,37,0.039602677057541176
68Ah,50,0.5,38,0.0035776237263127745
68Ah,50,0.5,39,0.04146962632127926
68Ah,50,0.5,40,0.0067492430842012565
68Ah,50,0.5,41,0.037124633918311424
68Ah,50,0.5,42,0.0251735747045335
68Ah,50,0.5,43,0.05008867090189488
68Ah,50,0.5,44,0.01732387119012401
68Ah,50,0.5,45,0.036443032052419395
68Ah,50,0.5,46,0.02104496524742169
68Ah,50,0.5,47,0.04052598438523105
68Ah,50,0.5,48,0.0460533890191013
68Ah,50,0.5,49,0.005004797466027111
68Ah,50,0.5,50,0.034227250837576356
68Ah,50,0.5,51,0.028251187888058134
68Ah,50,0.5,52,0.03394436217098924
68Ah,50,0.5,53,0.04877356346696319
68Ah,50,0.5,54,0.04648469924330332
68Ah,50,0.5,55,0.040106966346059474
68Ah,50,0.5,56,0.033766622237358906
68Ah,50,0.5,57,0.0397418903944789
68Ah,50,0.5,58,0.036753455437880986
68Ah,50,0.5,59,0.035182517228330115
68Ah,50,0.5,60,0.041286676594939044
68Ah,50,0.5,61,0.044082984042915496
68Ah,50,0.5,62,0.03499664126933784
68Ah,50,0.5,63,0.015935272934194066
68Ah,50,0.5,64,0.03072324320709989
68Ah,50,0.5,65,0.036699482685469326
68Ah,50,0.5,66,0.02378451219689294
68Ah,50,0.5,67,0.016578391828569357
68Ah,50,0.5,68,0.04732581143403587
68Ah,50,0.5,69,0.04401471558371871
68Ah,50,0.5,70,0.03516238600647351
68Ah,50,0.5,71,0.006465868246478655
68Ah,50,0.5,72,0.037351113886832106
68Ah,50,0.5,73,0.019866480617378616
68Ah,50,0.5,74,0.0014055018586902985
68Ah,50,0.5,75,0.048572553457236725
68Ah,50,0.5,76,0.032625744757304044
68Ah,50,0.5,77,0.037718143987224895
68Ah,50,0.5,78,0.04438273203295817
68Ah,50,0.5,79,0.0373574862942971
68Ah,50,0.5,80,0.0363336247618898
68Ah,50,0.5,81,0.032150088269192516
68Ah,50,0.5,82,0.04111924262510485
68Ah,50,0.5,83,0.03563368961039073
68Ah,50,0.5,84,0.033828064736456526
68Ah,50,0.5,85,0.010075447625893299
68Ah,50,0.5,86,0.02646869631311853
68Ah,50,0.5,87,0.03465391261929211
68Ah,50,0.5,88,0.03780401195143709
68Ah,50,0.5,89,0.04488359481873188
68Ah,50,0.5,90,0.001969702468938528
68Ah,50,0.5,91,0.038619346409012316
68Ah,50,0.5,92,0.004657890145418036
68Ah,50,0.5,93,0.006001586136230669
68Ah,50,0.5,94,0.0474322802387066
68Ah,50,0.5,95,0.0038417477305990096
68Ah,50,0.5,96,0.0035081332361426854
68Ah,50,0.5,97,0.028675871460229322
68Ah,50,0.5,98,0.040315987774175395
68Ah,50,0.5,99,0.02755165752687502
20Ah,75,0.5,0,0.0032972148598919273
20Ah,75,0.5,1,0.004065507350866229
20Ah,75,0.5,2,0.0015765737116112757
20Ah,75,0.5,3,0.003744579503627992
20Ah,75,0.5,4,0.0008951212516950509
20Ah,75,0.5,5,0.0031389807099396912
20Ah,75,0.5,6,0.0016435738662146926
20Ah,75,0.5,7,0.0027820770205004472
20Ah,75,0.5,8,0.0015061029974499129
20Ah,75,0.5,9,0.0030278212484708546
20Ah,75,0.5,10,0.0032972148598919295
20Ah,75,0.5,11,0.0023435905351703898
20Ah,75,0.5,12,0.002782077020500445
20Ah,75,0.5,13,0.001125215576848606
20Ah,75,0.5,14,0.0012030166814395505
20Ah,75,0.5,15,0.0011190993251495307
20Ah,75,0.5,16,0.0011190993251495437
20Ah,75,0.5,17,0.0030075555764394204
20Ah,75,0.5,18,0.003075851860473968
20Ah,75,0.5,19,0.0015867909627421597
20Ah,75,0.5,20,0.0015867909627421655
20Ah,75,0.5,21,0.0029219631308590147
20Ah,75,0.5,22,0.0029219631308590164
20Ah,75,0.5,23,0.0027820770205004455
20Ah,75,0.5,24,0.0040514148085687715
20Ah,75,0.5,25,0.0017543926685429292
20Ah,75,0.5,26,0.003027821248470852
20Ah,75,0.5,27,0.006002299568543616
20Ah,75,0.5,28,0.004065507350866238
20Ah,75,0.5,29,0.0015061029974499092
20Ah,75,0.5,30,0.0016791801110853078
20Ah,75,0.5,31,0.0015765737116112725
20Ah,75,0.5,32,0.001875781765291014
20Ah,75,0.5,33,0.0008951212516950488
20Ah,75,0.5,34,0.0027711630881085314
20Ah,75,0.5,35,0.0011190993251495454
20Ah,75,0.5,36,0.0012030166814395542
20Ah,75,0.5,37,0.004051414808568778
20Ah,75,0.5,38,0.0023826369119359756
20Ah,75,0.5,39,0.0029219631308590303
20Ah,75,0.5,40,0.0012913769945817751
20Ah,75,0.5,41,0.0016802069279681917
20Ah,75,0.5,42,0.0016435738662146922
20Ah,75,0.5,43,0.001203016681439558
20Ah,75,0.5,44,0.0030075555764394234
20Ah,75,0.5,45,0.006002299568543584
20Ah,75,0.5,46,0.002466793671587747
20Ah,75,0.5,47,0.0029219631308590463
20Ah,75,0.5,48,0.0027797476448747824
20Ah,75,0.5,49,0.002771163088108531
20Ah,75,0.5,50,0.0023435905351703867
20Ah,75,0.5,51,0.0012913769945817758
20Ah,75,0.5,52,0.0018757817652910174
20Ah,75,0.5,53,0.0029219631308590116
20Ah,75,0.5,54,0.0030278212484708576
20Ah,75,0.5,55,0.004917156057531237
20Ah,75,0.5,56,0.0011068974098391074
20Ah,75,0.5,57,0.0008951212516950506
20Ah,75,0.5,58,0.006002299568543592
20Ah,75,0.5,59,0.001119099325149532
20Ah,75,0.5,60,0.0027820770205004455
20Ah,75,0.5,61,0.0027421971490699526
20Ah,75,0.5,62,0.004917156057531253
20Ah,75,0.5,63,0.0031389807099396886
20Ah,75,0.5,64,0.0024914188441489027
20Ah,75,0.5,65,0.0016434402308860279
20Ah,75,0.5,66,0.0023826369119359855
20Ah,75,0.5,67,0.004917156057531256
20Ah,75,0.5,68,0.0011068974098391224
20Ah,75,0.5,69,0.0008951212516950524
20Ah,75,0.5,70,0.0027820770205004477
20Ah,75,0.5,71,0.0037445795036279983
20Ah,75,0.5,72,0.004917156057531225
20Ah,75,0.5,73,0.0031367040656419183
20Ah,75,0.5,74,0.002719580949899703
20Ah,75,0.5,75,0.0027421971490699565
20Ah,75,0.5,76,0.00045147564329299196
20Ah,75,0.5,77,0.002921963130859028
20Ah,75,0.5,78,0.0016434402308860222
20Ah,75,0.5,79,0.0031389807099396912
20Ah,75,0.5,80,0.002771163088108537
20Ah,75,0.5,81,0.0030075555764394308
20Ah,75,0.5,82,0.0011068974098391179
20Ah,75,0.5,83,0.0018757817652910135
20Ah,75,0.5,84,0.00045147564329297256
20Ah,75,0.5,85,0.0016272331661737619
20Ah,75,0.5,86,0.001119099325149543
20Ah,75,0.5,87,0.006002299568543595
20Ah,75,0.5,88,0.0012030166814395596
20Ah,75,0.5,89,0.001586790962742162
20Ah,75,0.5,90,0.0016435738662146989
20Ah,75,0.5,91,0.0006053438083289485
20Ah,75,0.5,92,0.00246679367158774
20Ah,75,0.5,93,0.003297214859891938
20Ah,75,0.5,94,0.0027421971490699504
20Ah,75,0.5,95,0.0016435738662146956
20Ah,75,0.5,96,0.0023826369119359734
20Ah,75,0.5,97,0.0015867909627421616
20Ah,75,0.5,98,0.0027195809498997015
20Ah,75,0.5,99,0.002782077020500448
68Ah,75,0.5,0,0.0003815987702457671
68Ah,75,0.5,1,0.00043329042803076764
68Ah,75,0.5,2,0.004236327826006275
68Ah,75,0.5,3,0.0002303013831709797
68Ah,75,0.5,4,0.001866235115707799
68Ah,75,0.5,5,0.001328265700825219
68Ah,75,0.5,6,0.0003524899574994407
68Ah,75,0.5,7,0.0029924347184870272
68Ah,75,0.5,8,0.00044957011769091685
68Ah,75,0.5,9,0.000177863598155428
68Ah,75,0.5,10,0.0015173634025171033
68Ah,75,0.5,11,0.0029077328625190784
68Ah,75,0.5,12,0.0009830140127452364
68Ah,75,0.5,13,0.00027921903264214055
68Ah,75,0.5,14,0.00011076635985721154
68Ah,75,0.5,15,0.001063325041478995
68Ah,75,0.5,16,0.0005688770620404801
68Ah,75,0.5,17,0.0022737554375550036
