capacity,soc_%,crate,seed,importance
68Ah,50,2.5,24,0.1145395672310232
68Ah,50,2.5,25,0.0889989981833832
68Ah,50,2.5,26,0.057881215154832626
68Ah,50,2.5,27,0.10465975372347894
68Ah,50,2.5,28,0.07928766284364161
68Ah,50,2.5,29,0.07963614033857311
68Ah,50,2.5,30,0.06442692036711378
68Ah,50,2.5,31,0.08251233633705002
68Ah,50,2.5,32,0.11314657853665243
68Ah,50,2.5,33,0.07452602286228864
68Ah,50,2.5,34,0.1016311106626126
68Ah,50,2.5,35,0.07246024825939523
68Ah,50,2.5,36,0.13345248942188234
68Ah,50,2.5,37,0.09691415134040765
68Ah,50,2.5,38,0.049714127495894815
68Ah,50,2.5,39,0.14173395047395132
68Ah,50,2.5,40,0.08572378501650328
68Ah,50,2.5,41,0.06019721450599774
68Ah,50,2.5,42,0.06647419311962698
68Ah,50,2.5,43,0.10124116925154253
68Ah,50,2.5,44,0.0749097574442531
68Ah,50,2.5,45,0.09383201359698513
68Ah,50,2.5,46,0.07109524368777896
68Ah,50,2.5,47,0.09050150990342072
68Ah,50,2.5,48,0.09796543889173807
68Ah,50,2.5,49,0.08138286946503893
68Ah,50,2.5,50,0.0568937799332222
68Ah,50,2.5,51,0.08163971933961087
68Ah,50,2.5,52,0.10616209848212858
68Ah,50,2.5,53,0.10338177025201262
68Ah,50,2.5,54,0.07051181035477942
68Ah,50,2.5,55,0.06685518556616876
68Ah,50,2.5,56,0.09539651630925226
68Ah,50,2.5,57,0.08775883061928243
68Ah,50,2.5,58,0.12908961045028788
68Ah,50,2.5,59,0.04806909145552086
68Ah,50,2.5,60,0.09020548279593016
68Ah,50,2.5,61,0.13278319227519642
68Ah,50,2.5,62,0.07370450529218583
68Ah,50,2.5,63,0.0824302622283385
68Ah,50,2.5,64,0.14561436246776435
68Ah,50,2.5,65,0.0988932356701493
68Ah,50,2.5,66,0.058508577284059185
68Ah,50,2.5,67,0.11070795232345558
68Ah,50,2.5,68,0.10427984062421836
68Ah,50,2.5,69,0.10095104271484122
68Ah,50,2.5,70,0.12083057817259452
68Ah,50,2.5,71,0.07668769829689483
68Ah,50,2.5,72,0.05631027554781436
68Ah,50,2.5,73,0.05682860681102497
68Ah,50,2.5,74,0.05441579000864766
68Ah,50,2.5,75,0.07190280498175838
68Ah,50,2.5,76,0.05452447476151195
68Ah,50,2.5,77,0.08402608024935682
68Ah,50,2.5,78,0.06414507204422688
68Ah,50,2.5,79,0.08750153405980822
68Ah,50,2.5,80,0.11459304420649598
68Ah,50,2.5,81,0.046774389412083985
68Ah,50,2.5,82,0.09344050857748047
68Ah,50,2.5,83,0.10731389579236966
68Ah,50,2.5,84,0.10032198328908734
68Ah,50,2.5,85,0.09982012464651126
68Ah,50,2.5,86,0.0670579896308002
68Ah,50,2.5,87,0.07806730147387263
68Ah,50,2.5,88,0.08239923577108013
68Ah,50,2.5,89,0.10681922743526748
68Ah,50,2.5,90,0.04670953036078609
68Ah,50,2.5,91,0.08813213776429928
68Ah,50,2.5,92,0.09323296722237537
68Ah,50,2.5,93,0.051078593977948075
68Ah,50,2.5,94,0.1309368856678874
68Ah,50,2.5,95,0.04361366232299811
68Ah,50,2.5,96,0.06163908656153454
68Ah,50,2.5,97,0.13038515639354523
68Ah,50,2.5,98,0.07872787476948681
68Ah,50,2.5,99,0.06411566426503401
20Ah,75,2.5,0,0.0007509829359131524
20Ah,75,2.5,1,2.4147008002968064e-05
20Ah,75,2.5,2,0.0008628311490469381
20Ah,75,2.5,3,0.00011020062227311701
20Ah,75,2.5,4,0.000517821625084282
20Ah,75,2.5,5,0.0001979515880993817
20Ah,75,2.5,6,0.0011383274176425691
20Ah,75,2.5,7,0.0007969881471627074
20Ah,75,2.5,8,0.0006922972097520079
20Ah,75,2.5,9,0.0005403141471580827
20Ah,75,2.5,10,0.0007509829359131546
20Ah,75,2.5,11,0.000375457311759494
20Ah,75,2.5,12,0.0007969881471627086
20Ah,75,2.5,13,0.0008246565554315401
20Ah,75,2.5,14,0.0014363882829547573
20Ah,75,2.5,15,0.0006491947330486123
20Ah,75,2.5,16,0.0006491947330486127
20Ah,75,2.5,17,7.824213835440007e-05
20Ah,75,2.5,18,0.0007641726486988098
20Ah,75,2.5,19,0.0005391639066912807
20Ah,75,2.5,20,0.0005391639066912783
20Ah,75,2.5,21,0.0011558017051738034
20Ah,75,2.5,22,0.0011558017051738058
20Ah,75,2.5,23,0.0007969881471627101
20Ah,75,2.5,24,0.00010659356115816006
20Ah,75,2.5,25,0.0008785296942407943
20Ah,75,2.5,26,0.0005403141471580849
20Ah,75,2.5,27,0.0005583454180492356
20Ah,75,2.5,28,2.4147008002965936e-05
20Ah,75,2.5,29,0.0006922972097520124
20Ah,75,2.5,30,0.007550615396706161
20Ah,75,2.5,31,0.0008628311490469426
20Ah,75,2.5,32,0.0007900719519310108
20Ah,75,2.5,33,0.0005178216250842817
20Ah,75,2.5,34,0.004759548175367283
20Ah,75,2.5,35,0.0006491947330486103
20Ah,75,2.5,36,0.0014363882829547528
20Ah,75,2.5,37,0.00010659356115815942
20Ah,75,2.5,38,0.002982563858719547
20Ah,75,2.5,39,0.0011558017051738084
20Ah,75,2.5,40,0.0020742797486624684
20Ah,75,2.5,41,0.0005660616932734794
20Ah,75,2.5,42,0.0011383274176425694
20Ah,75,2.5,43,0.0014363882829547482
20Ah,75,2.5,44,7.824213835440043e-05
20Ah,75,2.5,45,0.000558345418049232
20Ah,75,2.5,46,0.004199201196499922
20Ah,75,2.5,47,0.0011558017051738036
20Ah,75,2.5,48,0.0004532716031890542
20Ah,75,2.5,49,0.004759548175367275
20Ah,75,2.5,50,0.0003754573117594949
20Ah,75,2.5,51,0.0020742797486624632
20Ah,75,2.5,52,0.0007900719519310142
20Ah,75,2.5,53,0.0011558017051737997
20Ah,75,2.5,54,0.0005403141471580823
20Ah,75,2.5,55,0.01580322283129329
20Ah,75,2.5,56,0.001040153636865657
20Ah,75,2.5,57,0.0005178216250842799
20Ah,75,2.5,58,0.0005583454180492353
20Ah,75,2.5,59,0.0006491947330486096
20Ah,75,2.5,60,0.0007969881471627078
20Ah,75,2.5,61,0.0007436136170427461
20Ah,75,2.5,62,0.015803222831293273
20Ah,75,2.5,63,0.00019795158809937733
20Ah,75,2.5,64,0.005278854140552623
20Ah,75,2.5,65,0.0007797328800416064
20Ah,75,2.5,66,0.0029825638587195292
20Ah,75,2.5,67,0.015803222831293273
20Ah,75,2.5,68,0.0010401536368656631
20Ah,75,2.5,69,0.0005178216250842778
20Ah,75,2.5,70,0.0007969881471627071
20Ah,75,2.5,71,0.00011020062227311766
20Ah,75,2.5,72,0.015803222831293307
