soc_sheet,soc_label,crate,capacity,capacity_label,n,slope_soh_pct_per_mv,intercept_soh_pct,r2,x_min_mv,x_max_mv
SOC50,50%,1.0C,35Ah,35 Ah,56,-12.382836978063635,134.28023081737544,0.5962561735111693,3.350000000000186,4.549999999999832
SOC50,50%,1.0C,68Ah,68 Ah,96,-7.4433568227772025,126.01864135496801,0.7321409429754384,5.300000000000082,9.45000000000018
SOC50,50%,1.5C,20Ah,20 Ah,102,-1.9967228873422855,95.43643960076805,0.8466980916519891,7.100000000000106,13.64999999999994
SOC50,50%,1.5C,35Ah,35 Ah,56,-8.275914737093228,134.2118639393315,0.5897761836314832,5.049999999999777,6.899999999999684
SOC50,50%,1.5C,68Ah,68 Ah,96,-5.123620972051838,128.49606917403307,0.734159958799811,8.399999999999741,14.3000000000002
SOC50,50%,2.0C,20Ah,20 Ah,102,-1.8247708551223842,99.03574566379613,0.6928610330493743,9.499999999999842,15.70000000000005
SOC50,50%,2.0C,35Ah,35 Ah,56,-6.614811310178015,137.43235746799238,0.6406928002023164,6.800000000000139,9.000000000000119
SOC50,50%,2.0C,68Ah,68 Ah,96,-3.7890104490845653,128.42930964847764,0.7428736531786622,11.19999999999988,19.3500000000002
SOC50,50%,2.5C,20Ah,20 Ah,102,1.048052509181697,62.49145712641944,0.06942029013897966,10.74999999999982,15.65000000000016
SOC50,50%,2.5C,35Ah,35 Ah,56,-5.272377658381148,137.0295949845381,0.5883788942573551,8.449999999999847,11.19999999999988
SOC50,50%,2.5C,68Ah,68 Ah,96,-2.9933242539414016,128.2723215766309,0.7561548812759733,14.14999999999988,24.400000000000198
SOC75,75%,0.5C,20Ah,20 Ah,10,0.13163097199270862,81.27539044481375,0.006667815725716841,4.399999999999959,5.100000000000104
SOC75,75%,0.5C,35Ah,35 Ah,43,-10.282960773142712,116.40276691786097,0.798135406577687,2.299999999999969,3.599999999999826
SOC75,75%,0.5C,68Ah,68 Ah,56,-3.1798613669544493,102.28412175334586,0.5831125463236109,4.95000000000001,6.399999999999961
SOC75,75%,1.0C,20Ah,20 Ah,10,-0.07916777807455161,82.4400702854122,0.004965578129022097,6.500000000000172,7.599999999999829
SOC75,75%,1.0C,35Ah,35 Ah,43,-5.188187988572428,109.81255728682193,0.8116679858430524,3.249999999999975,5.549999999999944
SOC75,75%,1.0C,68Ah,68 Ah,56,-1.7933392786483096,98.3019180638868,0.7076980337484593,6.899999999999906,9.500000000000064
SOC75,75%,1.5C,20Ah,20 Ah,10,-0.19811134833309582,83.98448973558916,0.05050357810231165,10.00000000000023,11.40000000000008
SOC75,75%,1.5C,35Ah,35 Ah,43,-3.623383240138708,111.34861628406341,0.8433609046717216,5.15000000000021,8.45000000000029
SOC75,75%,1.5C,68Ah,68 Ah,56,-1.2462726281897787,98.99852077618557,0.7011628103617267,10.45000000000007,14.25000000000032
SOC75,75%,2.0C,20Ah,20 Ah,10,-0.14465971996099689,83.89916330185712,0.054324096819347134,13.10000000000011,14.95000000000002
SOC75,75%,2.0C,35Ah,35 Ah,43,-2.682826872202747,111.26156436463789,0.8305253448426617,7.050000000000001,11.30000000000031
SOC75,75%,2.0C,68Ah,68 Ah,56,-0.9671144781498651,99.45257803883031,0.671586167423467,14.00000000000001,18.70000000000016
SOC75,75%,2.5C,20Ah,20 Ah,10,-0.13259865659108527,84.09194164567566,0.07080557582590241,15.60000000000028,17.900000000000247
SOC75,75%,2.5C,35Ah,35 Ah,43,-2.187745206839983,111.64688327992194,0.8394236209599394,8.800000000000141,14.29999999999998
SOC75,75%,2.5C,68Ah,68 Ah,56,-0.9033390760323093,101.74988264450522,0.6388749321110025,17.349999999999753,22.24999999999988
