capacity,soc_%,crate,seed,importance,signed_importance
20Ah,25,0.5,31,0.05666630808300942,-0.05666630808300942
20Ah,25,1.0,31,0.01352283567630339,0.01352283567630339
20Ah,25,1.5,31,0.012646384890625086,0.012646384890625086
20Ah,25,2.5,31,0.004950322647503922,0.004950322647503922
20Ah,25,2.0,31,0.0024950133984607565,-0.0024950133984607565
20Ah,25,0.5,32,0.05705949991384857,-0.05705949991384857
20Ah,25,1.5,32,0.011130397100890897,0.011130397100890897
20Ah,25,1.0,32,0.010967658029335038,0.010967658029335038
20Ah,25,2.5,32,0.004641608678721133,0.004641608678721133
20Ah,25,2.0,32,0.0031243552181814595,0.0031243552181814595
20Ah,25,0.5,33,0.05665548418622058,-0.05665548418622058
20Ah,25,1.5,33,0.013434370784557129,0.013434370784557129
20Ah,25,1.0,33,0.011747620664299033,0.011747620664299033
20Ah,25,2.5,33,0.006048497669842388,0.006048497669842388
20Ah,25,2.0,33,0.002219301273196881,-0.002219301273196881
20Ah,25,0.5,34,0.05770910019896404,-0.05770910019896404
20Ah,25,1.5,34,0.020981399058869653,0.020981399058869653
20Ah,25,2.5,34,0.006090465732304274,0.006090465732304274
20Ah,25,1.0,34,0.005921611871129297,0.005921611871129297
20Ah,25,2.0,34,0.0035252428855651365,-0.0035252428855651365
20Ah,25,0.5,35,0.058643405912200616,-0.058643405912200616
20Ah,25,1.0,35,0.01803764863424552,0.01803764863424552
20Ah,25,1.5,35,0.006572116887588473,0.006572116887588473
20Ah,25,2.5,35,0.005719404706730928,0.005719404706730928
20Ah,25,2.0,35,0.002402693917277235,0.002402693917277235
20Ah,25,0.5,36,0.048177040746312065,-0.048177040746312065
20Ah,25,1.5,36,0.033179951990617414,0.033179951990617414
20Ah,25,2.0,36,0.02665583037034494,-0.02665583037034494
20Ah,25,1.0,36,0.007635485625490946,0.007635485625490946
20Ah,25,2.5,36,0.006936257625541496,0.006936257625541496
20Ah,25,0.5,37,0.05528029685253201,-0.05528029685253201
20Ah,25,1.0,37,0.019710305252851126,0.019710305252851126
20Ah,25,2.5,37,0.0043148615302970586,0.0043148615302970586
20Ah,25,2.0,37,0.0019289514545746751,0.0019289514545746751
20Ah,25,1.5,37,0.00022418407407666336,0.00022418407407666336
20Ah,25,0.5,38,0.05496412962002167,-0.05496412962002167
20Ah,25,1.0,38,0.0232438475754703,0.0232438475754703
20Ah,25,2.5,38,0.006706919288680254,0.006706919288680254
20Ah,25,2.0,38,0.0025492885557137157,-0.0025492885557137157
20Ah,25,1.5,38,0.0015588620591298614,0.0015588620591298614
20Ah,25,0.5,39,0.05683605434628567,-0.05683605434628567
20Ah,25,1.5,39,0.016106042876646774,0.016106042876646774
20Ah,25,1.0,39,0.009350800380057723,0.009350800380057723
20Ah,25,2.5,39,0.005944387459440893,0.005944387459440893
20Ah,25,2.0,39,0.003482151329364958,-0.003482151329364958
20Ah,25,0.5,40,0.059507660956685644,-0.059507660956685644
20Ah,25,1.5,40,0.022204757417949517,0.022204757417949517
20Ah,25,2.5,40,0.005467586557628898,0.005467586557628898
20Ah,25,1.0,40,0.005222268322745409,0.005222268322745409
20Ah,25,2.0,40,0.0004313945855126655,-0.0004313945855126655
20Ah,25,0.5,41,0.05655529402290903,-0.05655529402290903
